x	y	c
-1.145723819732666	-0.08890953660011292	7
0.5323418974876404	-0.6543710231781006	2
-1.8236972093582153	2.87247371673584	1
1.832472562789917	-0.0702648013830185	0
-0.4084228277206421	-1.2823963165283203	4
-1.7138679027557373	3.0356860160827637	1
-0.5130213499069214	-0.3447266221046448	4
0.04842556267976761	-0.9344422221183777	9
0.2600419521331787	-0.29799884557724	5
-0.518256664276123	-0.022434992715716362	9
2.1793301105499268	-1.3325257301330566	0
0.5678238272666931	-0.581769585609436	6
-1.1131386756896973	-0.3410904109477997	9
1.6587146520614624	-1.0195766687393188	0
-3.2952537536621094	2.380533456802368	1
0.6878258585929871	-0.9974820017814636	5
-0.672274112701416	-0.9686559438705444	9
-0.902249813079834	-0.5897281169891357	7
0.5199203491210938	-1.7290682792663574	3
-0.41265442967414856	-0.46295854449272156	4
-0.4124085009098053	0.4144660234451294	9
0.66352778673172	-0.08688916265964508	6
0.18474715948104858	-0.7130237221717834	6
0.6329335570335388	0.7773070335388184	5
-0.400858610868454	-1.102219820022583	4
2.920632839202881	-0.5395830869674683	0
-1.116770625114441	-1.3750884532928467	7
-0.450472354888916	-0.889270007610321	4
1.3734214305877686	-0.5400378108024597	0
-2.7638936042785645	1.5101494789123535	1
0.19979265332221985	-0.23255793750286102	3
-3.102360725402832	1.0822869539260864	1
0.3899078071117401	-1.108992338180542	3
1.1419172286987305	-0.21372516453266144	4
-0.2168605923652649	0.43040552735328674	7
0.7307309508323669	-0.35378655791282654	2
-0.919272780418396	-0.5535784363746643	7
-3.4652674198150635	1.8787716627120972	1
0.6100424528121948	-0.3092292249202728	2
-2.6519618034362793	2.5822319984436035	1
-2.4507415294647217	1.9219841957092285	1
-0.8151665925979614	-0.1799716055393219	7
-0.618805468082428	-0.4108158349990845	4
0.6449534296989441	0.2922568619251251	2
0.1706877052783966	0.056701481342315674	3
0.5041926503181458	0.18332922458648682	5
-0.370146781206131	0.09646879881620407	1
0.3352278769016266	-0.13854587078094482	2
-0.5863384008407593	-1.3584810495376587	4
-0.32106834650039673	-2.1369621753692627	4
0.8659212589263916	0.3154068887233734	6
0.5109701156616211	-1.5490498542785645	3
0.45694491267204285	0.499123752117157	5
0.7053666114807129	-1.2328648567199707	5
0.5507156848907471	-1.3461190462112427	6
0.7194668054580688	-0.1567566990852356	0
-0.368518590927124	-1.945448398590088	4
-2.0876669883728027	2.809864044189453	1
-1.1136771440505981	-1.4485251903533936	9
0.08624780178070068	1.1632667779922485	5
-0.44001367688179016	-2.1366186141967773	7
1.0450561046600342	0.7393597364425659	8
-0.4118097424507141	-0.02514914982020855	9
0.35518330335617065	0.2664947211742401	3
-0.12212258577346802	-0.23079727590084076	7
-0.3259661793708801	0.24066464602947235	4
0.39025402069091797	-0.26038140058517456	6
-0.5327544808387756	-1.2652846574783325	4
0.3545715808868408	-0.4579358696937561	3
2.6550838947296143	-1.2488857507705688	0
-0.9019446969032288	-0.6300798058509827	7
2.7884817123413086	-1.6878180503845215	0
0.689876914024353	-0.49203088879585266	2
0.028141513466835022	1.1402101516723633	9
-3.010334014892578	2.1554901599884033	1
-1.208601474761963	-0.31002265214920044	7
0.3783051073551178	-0.19998109340667725	3
-0.04925272986292839	-0.5564225912094116	2
-0.6920530200004578	1.052741527557373	9
-0.5536031723022461	-0.05991677939891815	7
-1.1033235788345337	-1.479607343673706	7
0.7765095233917236	-0.005298434291034937	6
0.7964311838150024	-0.30695319175720215	2
-1.5704442262649536	-1.3286516666412354	7
0.09944064915180206	-0.799428403377533	8
-0.3359496295452118	-1.6327568292617798	4
-0.7931194305419922	0.277640700340271	7
0.3874199688434601	-0.7101345062255859	3
0.4631924629211426	-0.44204285740852356	6
-1.4430780410766602	2.9746341705322266	1
0.595916748046875	-0.3468894064426422	3
0.7336106300354004	0.16610413789749146	6
-0.05851777642965317	1.078777551651001	9
0.21417111158370972	-0.16232161223888397	3
-2.121757745742798	1.4661078453063965	1
-0.12756668031215668	-0.8036709427833557	4
-1.7639743089675903	0.7660640478134155	1
-0.048359498381614685	-0.2603760063648224	7
0.8178922533988953	-0.0993996113538742	6
-0.450344055891037	-2.083754777908325	9
